,,,,date,round,day,venue,result,GF,GA,opponent,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,time
,,,,,,,,,,,,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,2018-08-12 Arsenal-Manchester City,2018-08-12,Matchweek 1,Sun,Home,L,0,2,Manchester City,16,13,1,1,0,1,0,0,0,0,0,0,0,0,16:00:00
ENG-Premier League,1819,Arsenal,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Away,L,2,3,Chelsea,28,25,0,1,1,0,1,3,2,0,0,0,0,1,17:30:00
ENG-Premier League,1819,Arsenal,2018-08-25 Arsenal-West Ham,2018-08-25,Matchweek 3,Sat,Home,W,3,1,West Ham,32,26,1,4,0,1,0,4,4,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Away,W,3,2,Cardiff City,31,22,6,0,3,0,0,6,4,1,0,1,0,0,13:30:00
ENG-Premier League,1819,Arsenal,2018-09-15 Newcastle Utd-Arsenal,2018-09-15,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,23,18,1,1,1,2,0,3,1,0,0,1,1,0,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-23 Arsenal-Everton,2018-09-23,Matchweek 6,Sun,Home,W,2,0,Everton,16,13,1,1,1,0,0,4,4,0,0,0,0,0,16:00:00
ENG-Premier League,1819,Arsenal,2018-09-29 Arsenal-Watford,2018-09-29,Matchweek 7,Sat,Home,W,2,0,Watford,16,13,1,1,0,0,1,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Arsenal,2018-10-07 Fulham-Arsenal,2018-10-07,Matchweek 8,Sun,Away,W,5,1,Fulham,18,17,0,1,0,0,0,10,10,0,0,0,0,0,12:00:00
ENG-Premier League,1819,Arsenal,2018-10-22 Arsenal-Leicester City,2018-10-22,Matchweek 9,Mon,Home,W,3,1,Leicester City,36,28,2,1,2,2,1,6,6,0,0,0,0,0,20:00:00
ENG-Premier League,1819,Arsenal,2018-10-28 Crystal Palace-Arsenal,2018-10-28,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,9,5,1,0,0,2,1,3,1,1,0,0,1,0,13:30:00
ENG-Premier League,1819,Arsenal,2018-11-03 Arsenal-Liverpool,2018-11-03,Matchweek 11,Sat,Home,D,1,1,Liverpool,24,23,1,0,0,0,0,2,2,0,0,0,0,0,17:30:00
ENG-Premier League,1819,Arsenal,2018-11-11 Arsenal-Wolves,2018-11-11,Matchweek 12,Sun,Home,D,1,1,Wolves,13,11,1,0,1,0,0,2,1,1,0,0,0,0,16:30:00
ENG-Premier League,1819,Arsenal,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Away,W,2,1,Bournemouth,32,24,0,3,2,0,3,2,2,0,0,0,0,0,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-02 Arsenal-Tottenham,2018-12-02,Matchweek 14,Sun,Home,W,4,2,Tottenham,37,26,5,0,4,2,0,6,5,0,0,0,1,0,14:05:00
