,,,,date,round,day,venue,result,GF,GA,opponent,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,time
,,,,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,2018-08-12 Arsenal-Manchester City,2018-08-12,Matchweek 1,Sun,Home,L,0,2,Manchester City,442,390,45,16,2,4,12,16,2,1,0,0,341,7,13,16:00:00
ENG-Premier League,1819,Arsenal,2018-08-18 Chelsea-Arsenal,2018-08-18,Matchweek 2,Sat,Away,L,2,3,Chelsea,467,419,45,14,1,3,12,17,1,0,1,0,379,3,6,17:30:00
ENG-Premier League,1819,Arsenal,2018-08-25 Arsenal-West Ham,2018-08-25,Matchweek 3,Sat,Home,W,3,1,West Ham,589,543,43,15,2,4,21,13,7,2,1,0,484,3,12,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-02 Cardiff City-Arsenal,2018-09-02,Matchweek 4,Sun,Away,W,3,2,Cardiff City,684,619,64,15,0,3,19,23,9,1,7,0,570,1,13,13:30:00
ENG-Premier League,1819,Arsenal,2018-09-15 Newcastle Utd-Arsenal,2018-09-15,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,642,600,41,15,6,2,15,17,4,2,1,1,533,1,7,15:00:00
ENG-Premier League,1819,Arsenal,2018-09-23 Arsenal-Everton,2018-09-23,Matchweek 6,Sun,Home,W,2,0,Everton,605,548,56,14,2,6,15,29,5,1,2,0,493,1,7,16:00:00
ENG-Premier League,1819,Arsenal,2018-09-29 Arsenal-Watford,2018-09-29,Matchweek 7,Sat,Home,W,2,0,Watford,589,531,57,20,3,3,22,18,6,1,4,0,470,1,13,15:00:00
ENG-Premier League,1819,Arsenal,2018-10-07 Fulham-Arsenal,2018-10-07,Matchweek 8,Sun,Away,W,5,1,Fulham,545,494,50,15,2,3,7,24,2,1,1,0,430,1,9,12:00:00
ENG-Premier League,1819,Arsenal,2018-10-22 Arsenal-Leicester City,2018-10-22,Matchweek 9,Mon,Home,W,3,1,Leicester City,746,703,41,9,2,3,11,20,6,3,1,0,633,2,16,20:00:00
ENG-Premier League,1819,Arsenal,2018-10-28 Crystal Palace-Arsenal,2018-10-28,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,588,543,45,9,0,7,10,19,4,1,2,0,484,0,7,13:30:00
ENG-Premier League,1819,Arsenal,2018-11-03 Arsenal-Liverpool,2018-11-03,Matchweek 11,Sat,Home,D,1,1,Liverpool,643,586,50,7,5,8,16,28,5,2,0,0,539,7,12,17:30:00
ENG-Premier League,1819,Arsenal,2018-11-11 Arsenal-Wolves,2018-11-11,Matchweek 12,Sun,Home,D,1,1,Wolves,796,735,60,18,0,5,27,27,11,2,4,0,670,1,22,16:30:00
ENG-Premier League,1819,Arsenal,2018-11-25 Bournemouth-Arsenal,2018-11-25,Matchweek 13,Sun,Away,W,2,1,Bournemouth,628,575,51,10,0,3,21,25,8,3,2,0,497,2,9,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-02 Arsenal-Tottenham,2018-12-02,Matchweek 14,Sun,Home,W,4,2,Tottenham,526,469,52,18,4,8,22,18,8,2,1,0,428,5,8,14:05:00
ENG-Premier League,1819,Arsenal,2018-12-05 Manchester Utd-Arsenal,2018-12-05,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,590,541,46,15,1,3,13,22,4,2,1,1,478,3,15,20:00:00
ENG-Premier League,1819,Arsenal,2018-12-08 Arsenal-Huddersfield,2018-12-08,Matchweek 16,Sat,Home,W,1,0,Huddersfield,569,507,60,20,2,2,16,23,7,2,3,0,452,2,15,15:00:00
ENG-Premier League,1819,Arsenal,2018-12-16 Southampton-Arsenal,2018-12-16,Matchweek 17,Sun,Away,L,2,3,Southampton,689,629,58,14,3,6,18,32,5,0,2,0,586,2,16,13:30:00
ENG-Premier League,1819,Arsenal,2018-12-22 Arsenal-Burnley,2018-12-22,Matchweek 18,Sat,Home,W,3,1,Burnley,582,532,48,17,0,3,5,17,1,0,0,0,497,2,4,12:30:00
ENG-Premier League,1819,Arsenal,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Away,D,1,1,Brighton,750,700,49,11,1,1,17,18,9,5,4,0,656,1,6,17:15:00
ENG-Premier League,1819,Arsenal,2018-12-29 Liverpool-Arsenal,2018-12-29,Matchweek 20,Sat,Away,L,1,5,Liverpool,592,546,41,10,0,7,10,15,3,0,0,0,489,5,7,17:30:00
ENG-Premier League,1819,Arsenal,2019-01-01 Arsenal-Fulham,2019-01-01,Matchweek 21,Tue,Home,W,4,1,Fulham,597,533,60,16,6,2,16,26,8,0,3,0,463,4,13,15:00:00
ENG-Premier League,1819,Arsenal,2019-01-12 West Ham-Arsenal,2019-01-12,Matchweek 22,Sat,Away,L,0,1,West Ham,595,546,46,12,1,6,8,20,3,2,1,0,510,3,13,12:30:00
ENG-Premier League,1819,Arsenal,2019-01-19 Arsenal-Chelsea,2019-01-19,Matchweek 23,Sat,Home,W,2,0,Chelsea,395,344,50,15,0,1,14,19,5,0,0,0,299,1,11,17:30:00
ENG-Premier League,1819,Arsenal,2019-01-29 Arsenal-Cardiff City,2019-01-29,Matchweek 24,Tue,Home,W,2,1,Cardiff City,631,577,54,12,0,0,11,25,4,1,1,0,537,0,12,19:45:00
ENG-Premier League,1819,Arsenal,2019-02-03 Manchester City-Arsenal,2019-02-03,Matchweek 25,Sun,Away,L,1,3,Manchester City,465,416,49,16,1,2,7,20,2,1,0,0,360,0,13,16:30:00
ENG-Premier League,1819,Arsenal,2019-02-09 Huddersfield-Arsenal,2019-02-09,Matchweek 26,Sat,Away,W,2,1,Huddersfield,447,394,52,19,0,6,6,24,0,0,0,0,326,1,18,15:00:00
ENG-Premier League,1819,Arsenal,2019-02-24 Arsenal-Southampton,2019-02-24,Matchweek 27,Sun,Home,W,2,0,Southampton,648,577,68,15,0,9,20,39,6,1,0,0,522,3,21,14:05:00
ENG-Premier League,1819,Arsenal,2019-02-27 Arsenal-Bournemouth,2019-02-27,Matchweek 28,Wed,Home,W,5,1,Bournemouth,694,643,47,12,2,4,16,21,9,2,3,0,606,4,16,19:45:00
ENG-Premier League,1819,Arsenal,2019-03-02 Tottenham-Arsenal,2019-03-02,Matchweek 29,Sat,Away,D,1,1,Tottenham,371,313,57,19,3,2,13,20,4,1,2,0,223,1,11,12:30:00
ENG-Premier League,1819,Arsenal,2019-03-10 Arsenal-Manchester Utd,2019-03-10,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,436,377,54,17,0,3,11,19,5,4,0,0,326,5,15,16:30:00
ENG-Premier League,1819,Arsenal,2019-04-01 Arsenal-Newcastle Utd,2019-04-01,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,754,703,49,12,4,3,18,27,6,1,2,0,637,2,12,20:00:00
ENG-Premier League,1819,Arsenal,2019-04-07 Everton-Arsenal,2019-04-07,Matchweek 33,Sun,Away,L,0,1,Everton,561,508,51,11,4,3,17,21,6,0,4,0,440,2,13,14:05:00
ENG-Premier League,1819,Arsenal,2019-04-15 Watford-Arsenal,2019-04-15,Matchweek 34,Mon,Away,W,1,0,Watford,690,649,37,14,0,3,13,11,4,1,0,0,591,4,10,20:00:00
ENG-Premier League,1819,Arsenal,2019-04-21 Arsenal-Crystal Palace,2019-04-21,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,718,659,58,14,1,5,30,27,8,3,2,0,616,1,10,16:00:00
ENG-Premier League,1819,Arsenal,2019-04-24 Wolves-Arsenal,2019-04-24,Matchweek 31,Wed,Away,L,1,3,Wolves,734,682,49,12,2,6,16,23,5,1,2,0,642,3,10,19:45:00
ENG-Premier League,1819,Arsenal,2019-04-28 Leicester City-Arsenal,2019-04-28,Matchweek 36,Sun,Away,L,0,3,Leicester City,332,282,47,15,0,1,14,16,6,5,1,0,211,3,13,12:00:00
ENG-Premier League,1819,Arsenal,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Home,D,1,1,Brighton,636,572,62,15,2,3,41,24,16,5,6,0,523,2,13,16:30:00
ENG-Premier League,1819,Arsenal,2019-05-12 Burnley-Arsenal,2019-05-12,Matchweek 38,Sun,Away,W,3,1,Burnley,583,533,50,15,3,9,25,20,5,0,1,0,484,0,12,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-11 Bournemouth-Cardiff City,2018-08-11,Matchweek 1,Sat,Home,W,2,0,Cardiff City,547,491,56,10,2,0,11,31,7,2,2,0,432,0,15,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-18 West Ham-Bournemouth,2018-08-18,Matchweek 2,Sat,Away,W,2,1,West Ham,354,306,48,14,3,4,11,19,4,2,2,0,265,0,6,15:00:00
ENG-Premier League,1819,Bournemouth,2018-08-25 Bournemouth-Everton,2018-08-25,Matchweek 3,Sat,Home,D,2,2,Everton,440,380,55,9,1,2,22,28,6,1,3,0,337,5,7,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-01 Chelsea-Bournemouth,2018-09-01,Matchweek 4,Sat,Away,L,0,2,Chelsea,297,246,50,12,0,0,15,20,6,3,1,0,198,1,8,15:00:00
ENG-Premier League,1819,Bournemouth,2018-09-15 Bournemouth-Leicester City,2018-09-15,Matchweek 5,Sat,Home,W,4,2,Leicester City,407,343,63,17,2,2,9,30,4,1,0,0,289,1,14,15:00:00
