,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,time
,,,,,,,,,,,,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Arsenal,2020-09-12 Fulham-Arsenal,2020-09-12,Matchweek 1,Sat,Away,W,3,0,Fulham,2,0,2,100.0,1,0.1,0.1,0,0,0,0,1,1,100.0,29,3,0.0,18.2,4,25.0,27.3,14,0,0.0,1,17.0,12:30:00
ENG-Premier League,2021,Arsenal,2020-09-19 Arsenal-West Ham,2020-09-19,Matchweek 2,Sat,Home,W,2,1,West Ham,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,1,2,50.0,32,6,3.1,19.2,5,20.0,23.2,18,1,5.6,2,19.2,20:00:00
ENG-Premier League,2021,Arsenal,2020-09-28 Liverpool-Arsenal,2020-09-28,Matchweek 3,Mon,Away,L,1,3,Liverpool,8,3,5,62.5,0,2.6,-0.4,0,0,0,0,2,5,40.0,34,6,11.8,18.9,9,11.1,14.0,20,1,5.0,2,15.0,20:00:00
ENG-Premier League,2021,Arsenal,2020-10-04 Arsenal-Sheffield Utd,2020-10-04,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,1,7,14.3,37,2,8.1,23.1,9,44.4,36.0,13,0,0.0,2,36.0,14:00:00
ENG-Premier League,2021,Arsenal,2020-10-17 Manchester City-Arsenal,2020-10-17,Matchweek 5,Sat,Away,L,0,1,Manchester City,5,1,4,80.0,0,1.4,0.4,0,0,0,0,4,11,36.4,48,4,18.8,22.5,4,50.0,36.0,8,1,12.5,0,7.0,17:30:00
ENG-Premier League,2021,Arsenal,2020-10-25 Arsenal-Leicester City,2020-10-25,Matchweek 6,Sun,Home,L,0,1,Leicester City,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,0,1,0.0,24,6,0.0,18.4,2,50.0,36.5,3,0,0.0,2,21.0,19:15:00
ENG-Premier League,2021,Arsenal,2020-11-01 Manchester Utd-Arsenal,2020-11-01,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,2,0,2,100.0,1,0.1,0.1,0,0,0,0,3,14,21.4,43,0,27.9,30.0,4,50.0,41.0,18,1,5.6,0,14.5,16:30:00
ENG-Premier League,2021,Arsenal,2020-11-08 Arsenal-Aston Villa,2020-11-08,Matchweek 8,Sun,Home,L,0,3,Aston Villa,5,3,3,40.0,0,1.6,-0.4,0,0,0,0,1,2,50.0,24,1,8.3,21.2,1,0.0,16.0,12,0,0.0,0,4.0,19:15:00
ENG-Premier League,2021,Arsenal,2020-11-22 Leeds United-Arsenal,2020-11-22,Matchweek 9,Sun,Away,D,0,0,Leeds United,4,0,4,100.0,1,0.8,0.8,0,0,0,0,7,29,24.1,25,2,52.0,36.1,17,94.1,56.0,21,0,0.0,0,14.0,16:30:00
ENG-Premier League,2021,Arsenal,2020-11-29 Arsenal-Wolves,2020-11-29,Matchweek 10,Sun,Home,L,1,2,Wolves,5,2,3,60.0,0,1.8,-0.2,0,0,0,0,1,1,100.0,17,5,5.9,23.7,3,0.0,23.3,8,1,12.5,0,6.0,19:15:00
ENG-Premier League,2021,Arsenal,2020-12-06 Tottenham-Arsenal,2020-12-06,Matchweek 11,Sun,Away,L,0,2,Tottenham,3,2,1,33.3,0,0.9,-1.1,0,0,0,0,1,2,50.0,29,4,3.4,19.4,2,50.0,39.0,6,0,0.0,2,32.0,16:30:00
ENG-Premier League,2021,Arsenal,2020-12-13 Arsenal-Burnley,2020-12-13,Matchweek 12,Sun,Home,L,0,1,Burnley,2,1,2,50.0,0,0.3,0.3,0,0,0,0,4,15,26.7,44,5,18.2,30.0,11,63.6,48.5,16,0,0.0,3,29.7,19:15:00
