,,,,date,round,day,venue,result,GF,GA,opponent,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,time
,,,,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,,,,,,,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Arsenal,2020-09-12 Fulham-Arsenal,2020-09-12,Matchweek 1,Sat,Away,W,3,0,Fulham,589,668,88.2,11292,2683,210,229,91.7,299,322,92.9,73,96,76.0,2,0.8,1.0,8,38,11,1,47,12:30:00
ENG-Premier League,2021,Arsenal,2020-09-19 Arsenal-West Ham,2020-09-19,Matchweek 2,Sat,Home,W,2,1,West Ham,599,710,84.4,10170,2713,247,276,89.5,281,309,90.9,45,71,63.4,2,1.1,1.6,6,38,16,3,52,20:00:00
ENG-Premier League,2021,Arsenal,2020-09-28 Liverpool-Arsenal,2020-09-28,Matchweek 3,Mon,Away,L,1,3,Liverpool,312,425,73.4,5470,1559,142,167,85.0,129,161,80.1,30,64,46.9,0,0.8,0.6,3,11,1,0,13,20:00:00
ENG-Premier League,2021,Arsenal,2020-10-04 Arsenal-Sheffield Utd,2020-10-04,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,646,741,87.2,11120,2988,286,305,93.8,280,304,92.1,62,94,66.0,2,0.6,0.6,6,41,4,1,49,14:00:00
ENG-Premier League,2021,Arsenal,2020-10-17 Manchester City-Arsenal,2020-10-17,Matchweek 5,Sat,Away,L,0,1,Manchester City,411,496,82.9,6975,1890,178,194,91.8,190,211,90.0,32,67,47.8,0,0.7,0.6,7,17,5,3,22,17:30:00
ENG-Premier League,2021,Arsenal,2020-10-25 Arsenal-Leicester City,2020-10-25,Matchweek 6,Sun,Home,L,0,1,Leicester City,525,621,84.5,9316,2146,218,238,91.6,249,275,90.5,47,75,62.7,0,0.6,0.7,10,41,11,5,50,19:15:00
ENG-Premier League,2021,Arsenal,2020-11-01 Manchester Utd-Arsenal,2020-11-01,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,438,526,83.3,6884,2011,233,254,91.7,166,182,91.2,25,56,44.6,0,0.2,0.4,5,24,7,2,40,16:30:00
ENG-Premier League,2021,Arsenal,2020-11-08 Arsenal-Aston Villa,2020-11-08,Matchweek 8,Sun,Home,L,0,3,Aston Villa,481,588,81.8,7774,2013,239,261,91.6,200,245,81.6,28,54,51.9,0,0.6,0.6,8,30,4,1,43,19:15:00
ENG-Premier League,2021,Arsenal,2020-11-22 Leeds United-Arsenal,2020-11-22,Matchweek 9,Sun,Away,D,0,0,Leeds United,236,343,68.8,3806,1692,116,134,86.6,97,125,77.6,14,58,24.1,0,0.7,0.5,6,15,3,0,29,16:30:00
ENG-Premier League,2021,Arsenal,2020-11-29 Arsenal-Wolves,2020-11-29,Matchweek 10,Sun,Home,L,1,2,Wolves,447,557,80.3,8436,2564,173,200,86.5,230,264,87.1,43,72,59.7,1,0.8,1.6,6,49,15,2,63,19:15:00
ENG-Premier League,2021,Arsenal,2020-12-06 Tottenham-Arsenal,2020-12-06,Matchweek 11,Sun,Away,L,0,2,Tottenham,574,697,82.4,9149,2496,280,309,90.6,241,286,84.3,35,67,52.2,0,0.4,1.1,6,42,18,5,71,16:30:00
ENG-Premier League,2021,Arsenal,2020-12-13 Arsenal-Burnley,2020-12-13,Matchweek 12,Sun,Home,L,0,1,Burnley,501,634,79.0,9687,3063,163,191,85.3,283,325,87.1,51,98,52.0,0,1.5,1.6,16,42,12,2,59,19:15:00
ENG-Premier League,2021,Arsenal,2020-12-16 Arsenal-Southampton,2020-12-16,Matchweek 13,Wed,Home,D,1,1,Southampton,287,377,76.1,5688,2137,112,134,83.6,134,159,84.3,40,73,54.8,1,0.6,0.3,8,26,4,0,38,18:00:00
ENG-Premier League,2021,Arsenal,2020-12-19 Everton-Arsenal,2020-12-19,Matchweek 14,Sat,Away,L,1,2,Everton,513,592,86.7,9676,2909,189,206,91.7,261,285,91.6,54,84,64.3,0,0.5,0.7,10,49,13,2,63,17:30:00
ENG-Premier League,2021,Arsenal,2020-12-26 Arsenal-Chelsea,2020-12-26,Matchweek 15,Sat,Home,W,3,1,Chelsea,249,373,66.8,4506,1944,121,152,79.6,103,138,74.6,23,66,34.8,1,0.6,0.5,6,20,3,1,28,17:30:00
ENG-Premier League,2021,Arsenal,2020-12-29 Brighton-Arsenal,2020-12-29,Matchweek 16,Tue,Away,W,1,0,Brighton,463,549,84.3,8525,2659,179,195,91.8,235,254,92.5,43,81,53.1,1,1.0,0.6,9,31,6,2,32,18:00:00
ENG-Premier League,2021,Arsenal,2021-01-02 West Brom-Arsenal,2021-01-02,Matchweek 17,Sat,Away,W,4,0,West Brom,543,672,80.8,9531,3148,242,273,88.6,258,301,85.7,38,69,55.1,3,3.1,1.6,16,35,7,1,51,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-14 Arsenal-Crystal Palace,2021-01-14,Matchweek 18,Thu,Home,D,0,0,Crystal Palace,626,738,84.8,10232,2951,302,339,89.1,255,285,89.5,43,64,67.2,0,0.3,0.7,7,58,12,2,72,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-18 Arsenal-Newcastle Utd,2021-01-18,Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,592,679,87.2,10327,3188,266,283,94.0,264,285,92.6,51,78,65.4,3,1.7,1.4,15,65,9,1,75,20:00:00
ENG-Premier League,2021,Arsenal,2021-01-26 Southampton-Arsenal,2021-01-26,Matchweek 20,Tue,Away,W,3,1,Southampton,300,398,75.4,5346,2047,138,166,83.1,115,137,83.9,36,67,53.7,3,2.2,1.6,8,25,8,1,32,20:15:00
ENG-Premier League,2021,Arsenal,2021-01-30 Arsenal-Manchester Utd,2021-01-30,Matchweek 21,Sat,Home,D,0,0,Manchester Utd,368,461,79.8,6422,2073,173,198,87.4,156,183,85.2,34,62,54.8,0,0.5,0.3,10,32,7,2,37,17:30:00
ENG-Premier League,2021,Arsenal,2021-02-02 Wolves-Arsenal,2021-02-02,Matchweek 22,Tue,Away,L,1,2,Wolves,451,517,87.2,6696,2109,262,277,94.6,165,180,91.7,14,39,35.9,1,0.7,0.5,6,28,4,1,38,18:00:00
ENG-Premier League,2021,Arsenal,2021-02-06 Aston Villa-Arsenal,2021-02-06,Matchweek 23,Sat,Away,L,0,1,Aston Villa,550,658,83.6,8353,3038,281,312,90.1,210,237,88.6,28,53,52.8,0,0.6,0.9,10,52,19,4,73,12:30:00
ENG-Premier League,2021,Arsenal,2021-02-14 Arsenal-Leeds United,2021-02-14,Matchweek 24,Sun,Home,W,4,2,Leeds United,356,468,76.1,5935,2029,169,194,87.1,143,177,80.8,31,70,44.3,3,1.5,1.3,11,16,4,0,28,16:30:00
ENG-Premier League,2021,Arsenal,2021-02-21 Arsenal-Manchester City,2021-02-21,Matchweek 25,Sun,Home,L,0,1,Manchester City,424,509,83.3,7021,2361,209,231,90.5,174,202,86.1,29,51,56.9,0,0.2,0.4,4,21,8,2,29,16:30:00
ENG-Premier League,2021,Arsenal,2021-02-28 Leicester City-Arsenal,2021-02-28,Matchweek 26,Sun,Away,W,3,1,Leicester City,455,561,81.1,7821,2483,221,246,89.8,176,204,86.3,46,76,60.5,1,0.6,1.0,8,36,5,1,38,12:00:00
ENG-Premier League,2021,Arsenal,2021-03-06 Burnley-Arsenal,2021-03-06,Matchweek 27,Sat,Away,D,1,1,Burnley,520,648,80.2,7843,2308,286,320,89.4,181,217,83.4,33,71,46.5,1,1.0,0.8,8,29,13,2,48,12:30:00
ENG-Premier League,2021,Arsenal,2021-03-14 Arsenal-Tottenham,2021-03-14,Matchweek 28,Sun,Home,W,2,1,Tottenham,468,565,82.8,7615,2325,221,243,90.9,182,210,86.7,37,64,57.8,1,0.9,0.9,11,38,9,1,54,16:30:00
ENG-Premier League,2021,Arsenal,2021-03-21 West Ham-Arsenal,2021-03-21,Matchweek 29,Sun,Away,D,3,3,West Ham,548,652,84.0,7608,2566,308,336,91.7,177,204,86.8,25,61,41.0,1,1.2,1.7,14,42,11,3,63,15:00:00
ENG-Premier League,2021,Arsenal,2021-04-03 Arsenal-Liverpool,2021-04-03,Matchweek 30,Sat,Home,L,0,3,Liverpool,318,425,74.8,5172,1628,150,175,85.7,120,146,82.2,29,75,38.7,0,0.1,0.2,2,23,1,0,19,20:00:00
ENG-Premier League,2021,Arsenal,2021-04-11 Sheffield Utd-Arsenal,2021-04-11,Matchweek 31,Sun,Away,W,3,0,Sheffield Utd,539,616,87.5,8854,2696,249,274,90.9,234,251,93.2,36,53,67.9,2,1.0,1.1,9,30,8,0,36,19:00:00
ENG-Premier League,2021,Arsenal,2021-04-18 Arsenal-Fulham,2021-04-18,Matchweek 32,Sun,Home,D,1,1,Fulham,587,689,85.2,9379,2380,294,327,89.9,235,261,90.0,37,62,59.7,0,1.9,1.9,12,52,10,4,54,13:30:00
ENG-Premier League,2021,Arsenal,2021-04-23 Arsenal-Everton,2021-04-23,Matchweek 33,Fri,Home,L,0,1,Everton,602,679,88.7,10648,3067,278,293,94.9,238,265,89.8,73,96,76.0,0,0.7,0.7,12,63,10,2,65,20:00:00
ENG-Premier League,2021,Arsenal,2021-05-02 Newcastle Utd-Arsenal,2021-05-02,Matchweek 34,Sun,Away,W,2,0,Newcastle Utd,613,680,90.1,10465,3242,296,314,94.3,266,285,93.3,45,64,70.3,2,1.9,1.7,17,76,9,3,61,14:00:00
ENG-Premier League,2021,Arsenal,2021-05-09 Arsenal-West Brom,2021-05-09,Matchweek 35,Sun,Home,W,3,1,West Brom,521,618,84.3,8581,2602,249,284,87.7,237,257,92.2,29,61,47.5,2,0.7,0.8,9,37,7,1,53,19:00:00
ENG-Premier League,2021,Arsenal,2021-05-12 Chelsea-Arsenal,2021-05-12,Matchweek 36,Wed,Away,W,1,0,Chelsea,310,402,77.1,5430,1968,155,182,85.2,133,150,88.7,21,58,36.2,1,0.6,0.5,3,14,2,1,22,20:15:00
