fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away
187445,,2010-08-07,,Stade de l'Abbé Deschamps (Auxerre),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,108,Auxerre,https://media-4.api-sports.io/football/teams/108.png,0,97,Lorient,https://media-4.api-sports.io/football/teams/97.png,0,2,2,1,1,2,2
187446,,2010-08-07,,Stade Félix Bollaert (Lens),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,116,Lens,https://media-4.api-sports.io/football/teams/116.png,False,102,Nancy,https://media-4.api-sports.io/football/teams/102.png,True,1,2,0,1,1,2
187447,,2010-08-07,,Stade de Gerland (Lyon),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,80,Lyon,https://media-4.api-sports.io/football/teams/80.png,0,91,Monaco,https://media-4.api-sports.io/football/teams/91.png,0,0,0,0,0,0,0
187448,,2010-08-07,,Stade Vélodrome (Marseille),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,81,Marseille,https://media-4.api-sports.io/football/teams/81.png,False,88,Caen,https://media-4.api-sports.io/football/teams/88.png,True,1,2,0,0,1,2
187449,,2010-08-07,,Stade Municipal du Ray (Nice),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,84,Nice,https://media-4.api-sports.io/football/teams/84.png,0,105,Valenciennes,https://media-4.api-sports.io/football/teams/105.png,0,0,0,0,0,0,0
187450,,2010-08-07,,Parc des Princes (Paris),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,85,Paris Saint Germain,https://media-4.api-sports.io/football/teams/85.png,True,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,False,3,1,2,1,3,1
187451,,2010-08-07,,Stade de la Route de Lorient (Rennes),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,94,Rennes,https://media-4.api-sports.io/football/teams/94.png,0,79,Lille,https://media-4.api-sports.io/football/teams/79.png,0,1,1,1,0,1,1
187452,,2010-08-07,,Stade Auguste-Bonal (Montbéliard),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,115,Sochaux,https://media-4.api-sports.io/football/teams/115.png,True,4652,Arles,https://media-4.api-sports.io/football/teams/4652.png,False,2,1,1,1,2,1
187453,,2010-08-07,,Stadium Municipal (Toulouse),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,96,Toulouse,https://media-4.api-sports.io/football/teams/96.png,True,106,Stade Brestois 29,https://media-4.api-sports.io/football/teams/106.png,False,2,0,1,0,2,0
187454,,2010-08-08,,Stade de la Mosson (Montpellier),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 1,82,Montpellier,https://media-4.api-sports.io/football/teams/82.png,True,78,Bordeaux,https://media-4.api-sports.io/football/teams/78.png,False,1,0,0,0,1,0
187458,,2010-08-14,,Stade Geoffroy-Guichard (Saint-Ètienne),,Match Finished,FT,90,61,Ligue 1,France,https://media-4.api-sports.io/football/leagues/61.png,https://media-4.api-sports.io/flags/fr.svg,2010,Regular Season - 2,1063,Saint Etienne,https://media-4.api-sports.io/football/teams/1063.png,True,115,Sochaux,https://media-4.api-sports.io/football/teams/115.png,False,3,2,1,0,3,2
