fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
195944,,UTC,2012-01-20T19:30:00+00:00,1327087800,,,,Stadion im BORUSSIA-PARK (Mönchengladbach),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,163,Borussia Monchengladbach,https://media-4.api-sports.io/football/teams/163.png,True,157,Bayern Munich,https://media-4.api-sports.io/football/teams/157.png,False,3.0,1.0,2.0,0.0,3.0,1.0,,,,
195945,,UTC,2012-01-21T14:30:00+00:00,1327156200,,,,Wirsol Rhein-Neckar-Arena (Sinsheim),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,167,1899 Hoffenheim,https://media-4.api-sports.io/football/teams/167.png,,166,Hannover 96,https://media-4.api-sports.io/football/teams/166.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
195946,,UTC,2012-01-21T14:30:00+00:00,1327156200,,,,Veltins-Arena (Gelsenkirchen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,174,FC Schalke 04,https://media-4.api-sports.io/football/teams/174.png,True,172,VfB Stuttgart,https://media-4.api-sports.io/football/teams/172.png,False,3.0,1.0,1.0,0.0,3.0,1.0,,,,
195947,,UTC,2012-01-21T14:30:00+00:00,1327156200,,,,VOLKSWAGEN ARENA (Wolfsburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,161,VfL Wolfsburg,https://media-4.api-sports.io/football/teams/161.png,True,192,FC Koln,https://media-4.api-sports.io/football/teams/192.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
195948,,UTC,2012-01-21T14:30:00+00:00,1327156200,,,,MAGE SOLAR Stadion (Freiburg im Breisgau),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,160,SC Freiburg,https://media-4.api-sports.io/football/teams/160.png,True,170,FC Augsburg,https://media-4.api-sports.io/football/teams/170.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
195949,,UTC,2012-01-21T14:30:00+00:00,1327156200,,,,easyCredit-Stadion (Nürnberg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,171,FC Nurnberg,https://media-4.api-sports.io/football/teams/171.png,True,159,Hertha Berlin,https://media-4.api-sports.io/football/teams/159.png,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
195950,,UTC,2012-01-21T17:30:00+00:00,1327167000,,,,Fritz-Walter-Stadion (Kaiserslautern),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,745,FC Kaiserslautern,https://media-4.api-sports.io/football/teams/745.png,,162,Werder Bremen,https://media-4.api-sports.io/football/teams/162.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
195951,,UTC,2012-01-22T14:30:00+00:00,1327242600,,,,Imtech Arena (Hamburg),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,175,Hamburger SV,https://media-4.api-sports.io/football/teams/175.png,False,165,Borussia Dortmund,https://media-4.api-sports.io/football/teams/165.png,True,1.0,5.0,0.0,2.0,1.0,5.0,,,,
195952,,UTC,2012-01-22T16:30:00+00:00,1327249800,,,,BayArena (Leverkusen),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 18,168,Bayer Leverkusen,https://media-4.api-sports.io/football/teams/168.png,True,164,FSV Mainz 05,https://media-4.api-sports.io/football/teams/164.png,False,3.0,2.0,2.0,0.0,3.0,2.0,,,,
195953,,UTC,2012-01-27T19:30:00+00:00,1327692600,,,,AWD-Arena (Hannover),,Match Finished,FT,90.0,78,Bundesliga,Germany,https://media-4.api-sports.io/football/leagues/78.png,https://media-4.api-sports.io/flags/de.svg,2011,Regular Season - 19,166,Hannover 96,https://media-4.api-sports.io/football/teams/166.png,True,171,FC Nurnberg,https://media-4.api-sports.io/football/teams/171.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
