fixture_id,fixture_referee,fixture_date,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,home_rank,home_elo,away_rank,away_elo
198303,,2010-08-28,,Stadio Communale Friuli (Udine),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,494,Udinese,https://media-4.api-sports.io/football/teams/494.png,False,495,Genoa,https://media-4.api-sports.io/football/teams/495.png,True,0,1,0,0,0,1,51,1669.92993164,49,1671.57739258
198305,,2010-08-29,,Stadio Comunale San Nicola (Bari),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,508,Bari,https://media-4.api-sports.io/football/teams/508.png,True,496,Juventus,https://media-4.api-sports.io/football/teams/496.png,False,1,0,1,0,1,0,65,1646.85241699,36,1705.86694336
198311,,2010-08-29,,Stadio Artemio Franchi (Firenze),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,502,Fiorentina,https://media-4.api-sports.io/football/teams/502.png,0,492,Napoli,https://media-4.api-sports.io/football/teams/492.png,0,1,1,0,1,1,1,41,1694.1895752,39,1699.50439453
198306,,2010-08-29,,Stadio Marc'Antonio Bentegodi (Verona),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,491,Chievo,https://media-4.api-sports.io/football/teams/491.png,True,1580,Catania,https://media-4.api-sports.io/football/teams/1580.png,False,2,1,1,1,2,1,72,1632.81445312,63,1650.25292969
198309,,2010-08-29,,Stadio Comunale Luigi Ferraris (Genova),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,498,Sampdoria,https://media-4.api-sports.io/football/teams/498.png,True,487,Lazio,https://media-4.api-sports.io/football/teams/487.png,False,2,0,0,0,2,0,33,1728.82983398,58,1656.55395508
198308,,2010-08-29,,Stadio Ennio Tardini (Parma),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,523,Parma,https://media-4.api-sports.io/football/teams/523.png,True,518,Brescia,https://media-4.api-sports.io/football/teams/518.png,False,2,0,2,0,2,0,61,1651.81958008,93,1570.19311523
198310,,2010-08-29,,Stadio Renzo Barbera (Palermo),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,522,Palermo,https://media-4.api-sports.io/football/teams/522.png,0,490,Cagliari,https://media-4.api-sports.io/football/teams/490.png,0,0,0,0,0,0,0,27,1749.81945801,66,1639.56848145
198312,,2010-08-30,,Stadio Renato Dall'Ara (Bologna),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 1,500,Bologna,https://media-4.api-sports.io/football/teams/500.png,0,505,Inter,https://media-4.api-sports.io/football/teams/505.png,0,0,0,0,0,0,0,85,1615.58679199,5,1930.59204102
198313,,2010-09-11,,Stadio Giuseppe Meazza (Milano),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,505,Inter,https://media-4.api-sports.io/football/teams/505.png,True,494,Udinese,https://media-4.api-sports.io/football/teams/494.png,False,2,1,1,1,2,1,5,1924.5637207,55,1661.3416748
198322,,2010-09-12,,Stadio San Paolo (Napoli),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,492,Napoli,https://media-4.api-sports.io/football/teams/492.png,0,508,Bari,https://media-4.api-sports.io/football/teams/508.png,0,2,2,1,1,2,2,39,1701.36437988,58,1654.67773438
198316,,2010-09-12,,Stadio Mario Rigamonti (Brescia),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,518,Brescia,https://media-4.api-sports.io/football/teams/518.png,True,522,Palermo,https://media-4.api-sports.io/football/teams/522.png,False,3,2,3,1,3,2,95,1563.69714355,28,1745.03613281
198317,,2010-09-12,,Stadio Angelo Massimino (Catania),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,1580,Catania,https://media-4.api-sports.io/football/teams/1580.png,True,523,Parma,https://media-4.api-sports.io/football/teams/523.png,False,2,1,1,0,2,1,67,1643.39941406,56,1658.31555176
198318,,2010-09-12,,Stadio Comunale Luigi Ferraris (Genova),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,495,Genoa,https://media-4.api-sports.io/football/teams/495.png,False,491,Chievo,https://media-4.api-sports.io/football/teams/491.png,True,1,3,1,1,1,3,49,1682.70849609,68,1639.66796875
198319,,2010-09-12,,Stadio Olimpico di Torino (Torino),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,496,Juventus,https://media-4.api-sports.io/football/teams/496.png,0,498,Sampdoria,https://media-4.api-sports.io/football/teams/498.png,0,3,3,1,1,3,3,41,1698.04162598,32,1735.61889648
198320,,2010-09-12,,Stadio Olimpico (Roma),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,487,Lazio,https://media-4.api-sports.io/football/teams/487.png,True,500,Bologna,https://media-4.api-sports.io/football/teams/500.png,False,3,1,0,0,3,1,62,1649.76477051,78,1621.61499023
198321,,2010-09-12,,Stadio Comunale Via del Mare (Lecce),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 2,867,Lecce,https://media-4.api-sports.io/football/teams/867.png,True,502,Fiorentina,https://media-4.api-sports.io/football/teams/502.png,False,1,0,1,0,1,0,93,1571.27685547,43,1692.32946777
198323,,2010-09-18,,Stadio Artemio Franchi (Firenze),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 3,502,Fiorentina,https://media-4.api-sports.io/football/teams/502.png,False,487,Lazio,https://media-4.api-sports.io/football/teams/487.png,True,1,2,1,1,1,2,46,1675.09277344,62,1649.66027832
198332,,2010-09-19,,Stadio Comunale Luigi Ferraris (Genova),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 3,498,Sampdoria,https://media-4.api-sports.io/football/teams/498.png,False,492,Napoli,https://media-4.api-sports.io/football/teams/492.png,True,1,2,0,0,1,2,31,1730.83508301,41,1684.45336914
198325,,2010-09-19,,Stadio Comunale San Nicola (Bari),,Match Finished,FT,90,135,Serie A,Italy,https://media-4.api-sports.io/football/leagues/135.png,https://media-4.api-sports.io/flags/it.svg,2010,Regular Season - 3,508,Bari,https://media-4.api-sports.io/football/teams/508.png,0,490,Cagliari,https://media-4.api-sports.io/football/teams/490.png,0,0,0,0,0,0,0,61,1650.05041504,58,1657.56970215
