,,,,date,round,day,venue,result,GF,GA,opponent,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,time
,,,,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,2017-08-11 Arsenal-Leicester City,2017-08-11,Matchweek 1,Fri,Home,W,4,3,Leicester City,0,0,0,9,12,5,20,13,17,0,0,0,57,18,17,51.4,19:45:00
ENG-Premier League,1718,Arsenal,2017-08-19 Stoke City-Arsenal,2017-08-19,Matchweek 2,Sat,Away,L,0,1,Stoke City,0,0,0,11,5,3,24,7,11,0,0,0,51,9,17,34.6,17:30:00
ENG-Premier League,1718,Arsenal,2017-08-27 Liverpool-Arsenal,2017-08-27,Matchweek 3,Sun,Away,L,0,4,Liverpool,4,0,0,9,6,5,7,15,11,0,0,0,52,14,11,56.0,16:00:00
ENG-Premier League,1718,Arsenal,2017-09-09 Arsenal-Bournemouth,2017-09-09,Matchweek 4,Sat,Home,W,3,0,Bournemouth,0,0,0,14,9,4,12,18,12,0,0,0,61,18,18,50.0,15:00:00
ENG-Premier League,1718,Arsenal,2017-09-17 Chelsea-Arsenal,2017-09-17,Matchweek 5,Sun,Away,D,0,0,Chelsea,3,0,0,15,11,2,8,19,15,0,0,0,59,20,17,54.1,13:30:00
ENG-Premier League,1718,Arsenal,2017-09-25 Arsenal-West Brom,2017-09-25,Matchweek 6,Mon,Home,W,2,0,West Brom,1,0,0,8,17,0,18,12,9,1,0,0,52,24,21,53.3,20:00:00
ENG-Premier League,1718,Arsenal,2017-10-01 Arsenal-Brighton,2017-10-01,Matchweek 7,Sun,Home,W,2,0,Brighton,0,0,0,7,8,2,12,11,11,0,0,0,53,30,13,69.8,12:00:00
ENG-Premier League,1718,Arsenal,2017-10-14 Watford-Arsenal,2017-10-14,Matchweek 8,Sat,Away,L,1,2,Watford,0,0,0,10,8,0,13,9,12,0,1,0,62,29,22,56.9,17:30:00
ENG-Premier League,1718,Arsenal,2017-10-22 Everton-Arsenal,2017-10-22,Matchweek 9,Sun,Away,W,5,2,Everton,1,0,0,14,14,1,15,8,9,0,0,0,56,13,17,43.3,13:30:00
ENG-Premier League,1718,Arsenal,2017-10-28 Arsenal-Swansea City,2017-10-28,Matchweek 10,Sat,Home,W,2,1,Swansea City,0,0,0,9,9,2,18,7,13,0,0,0,59,17,8,68.0,15:00:00
ENG-Premier League,1718,Arsenal,2017-11-05 Manchester City-Arsenal,2017-11-05,Matchweek 11,Sun,Away,L,1,3,Manchester City,6,0,0,15,14,3,8,15,10,0,1,0,53,4,5,44.4,14:15:00
ENG-Premier League,1718,Arsenal,2017-11-18 Arsenal-Tottenham,2017-11-18,Matchweek 12,Sat,Home,W,2,0,Tottenham,4,0,0,11,15,8,16,16,10,0,0,0,70,16,19,45.7,12:30:00
ENG-Premier League,1718,Arsenal,2017-11-26 Burnley-Arsenal,2017-11-26,Matchweek 13,Sun,Away,W,1,0,Burnley,0,0,0,14,8,3,17,5,9,1,0,0,58,24,18,57.1,14:00:00
ENG-Premier League,1718,Arsenal,2017-11-29 Arsenal-Huddersfield,2017-11-29,Matchweek 14,Wed,Home,W,5,0,Huddersfield,0,0,0,10,10,2,11,15,12,0,0,0,57,12,16,42.9,19:45:00
ENG-Premier League,1718,Arsenal,2017-12-02 Arsenal-Manchester Utd,2017-12-02,Matchweek 15,Sat,Home,L,1,3,Manchester Utd,3,0,0,11,10,4,26,5,14,0,0,0,50,11,24,31.4,17:30:00
ENG-Premier League,1718,Arsenal,2017-12-10 Southampton-Arsenal,2017-12-10,Matchweek 16,Sun,Away,D,1,1,Southampton,2,0,0,10,11,1,17,8,8,0,0,0,55,12,9,57.1,12:00:00
ENG-Premier League,1718,Arsenal,2017-12-13 West Ham-Arsenal,2017-12-13,Matchweek 17,Wed,Away,D,0,0,West Ham,0,0,0,9,8,0,23,16,11,0,0,0,62,19,20,48.7,20:00:00
ENG-Premier League,1718,Arsenal,2017-12-16 Arsenal-Newcastle Utd,2017-12-16,Matchweek 18,Sat,Home,W,1,0,Newcastle Utd,2,0,0,13,8,1,10,12,6,0,0,0,56,25,38,39.7,15:00:00
ENG-Premier League,1718,Arsenal,2017-12-22 Arsenal-Liverpool,2017-12-22,Matchweek 19,Fri,Home,D,3,3,Liverpool,1,0,0,9,11,3,14,12,14,0,0,0,61,17,23,42.5,19:45:00
ENG-Premier League,1718,Arsenal,2017-12-28 Crystal Palace-Arsenal,2017-12-28,Matchweek 20,Thu,Away,W,3,2,Crystal Palace,1,0,0,7,12,3,15,12,14,0,0,0,55,20,22,47.6,20:00:00
ENG-Premier League,1718,Arsenal,2017-12-31 West Brom-Arsenal,2017-12-31,Matchweek 21,Sun,Away,D,1,1,West Brom,3,0,0,9,14,2,10,8,10,0,1,0,59,12,17,41.4,16:30:00
ENG-Premier League,1718,Arsenal,2018-01-03 Arsenal-Chelsea,2018-01-03,Matchweek 22,Wed,Home,D,2,2,Chelsea,3,0,0,11,11,2,20,16,12,0,1,0,54,12,14,46.2,19:45:00
ENG-Premier League,1718,Arsenal,2018-01-14 Bournemouth-Arsenal,2018-01-14,Matchweek 23,Sun,Away,L,1,2,Bournemouth,2,0,0,10,6,4,13,15,16,0,0,0,68,31,26,54.4,13:30:00
ENG-Premier League,1718,Arsenal,2018-01-20 Arsenal-Crystal Palace,2018-01-20,Matchweek 24,Sat,Home,W,4,1,Crystal Palace,0,0,0,6,8,3,9,9,11,0,0,0,65,16,16,50.0,15:00:00
ENG-Premier League,1718,Arsenal,2018-01-30 Swansea City-Arsenal,2018-01-30,Matchweek 25,Tue,Away,L,1,3,Swansea City,3,0,0,8,4,3,21,8,0,0,0,0,35,14,10,58.3,19:45:00
ENG-Premier League,1718,Arsenal,2018-02-03 Arsenal-Everton,2018-02-03,Matchweek 26,Sat,Home,W,5,1,Everton,2,0,0,8,8,1,10,13,19,0,0,0,49,20,25,44.4,17:30:00
ENG-Premier League,1718,Arsenal,2018-02-10 Tottenham-Arsenal,2018-02-10,Matchweek 27,Sat,Away,L,0,1,Tottenham,1,0,0,9,13,6,12,11,9,0,0,0,52,13,16,44.8,12:30:00
